15.12,1.04,5.8e-05
15.14,1.02,5.8e-05
15.16,1.08,5.8e-05
15.14,1.0,5.8e-05
15.12,1.0,5.8e-05
15.12,1.0,5.8e-05
15.16,0.96,5.8e-05
15.14,1.0,5.8e-05
15.14,1.02,5.8e-05
15.18,1.0,5.8e-05
15.12,1.0,5.8e-05
15.06,0.98,5.8e-05
15.06,0.98,5.8e-05
15.14,1.0,5.8e-05
15.22,1.02,5.8e-05
15.12,1.0,5.7e-05
15.1,1.0,5.8e-05
15.06,1.04,5.8e-05
15.16,1.02,5.8e-05
15.12,0.98,5.8e-05
15.08,1.02,5.8e-05
15.18,0.98,5.8e-05
15.14,1.0,5.8e-05
15.1,1.0,5.8e-05
15.2,0.98,5.8e-05
15.16,1.0,5.8e-05
15.18,0.98,5.8e-05
15.14,0.98,5.8e-05
15.14,1.0,5.8e-05
15.16,1.04,5.8e-05
15.2,1.0,5.8e-05
15.14,1.04,5.8e-05
15.16,0.98,5.8e-05
15.16,1.04,5.8e-05
15.18,1.02,5.8e-05
15.2,1.0,5.8e-05
15.12,1.02,5.8e-05
15.16,1.0,5.8e-05
15.1,0.98,5.8e-05
15.12,1.02,5.8e-05
15.1,1.04,5.8e-05
15.54,0.88,6.5e-05
17.34,0.92,9.1e-05
21.34,1.04,9.4e-05
21.32,0.98,9.3e-05
21.26,0.96,9.4e-05
21.22,1.02,9.4e-05
21.26,0.98,9.4e-05
21.38,1.0,9.4e-05
21.2,0.96,9.4e-05
21.24,0.98,9.4e-05
21.28,1.02,9.4e-05
21.36,1.02,9.4e-05
21.26,1.0,9.4e-05
21.36,1.0,9.4e-05
21.42,0.98,9.4e-05
21.3,1.0,9.4e-05
21.4,1.02,9.5e-05
21.28,0.98,9.5e-05
21.24,1.0,9.5e-05
21.28,1.02,9.5e-05
21.34,1.02,9.5e-05
21.26,0.98,9.5e-05
21.18,0.98,9.5e-05
21.38,1.0,9.5e-05
21.28,1.02,9.5e-05
21.34,0.98,9.5e-05
21.32,1.0,9.5e-05
21.34,1.0,9.5e-05
21.3,1.0,9.5e-05
21.26,1.0,9.5e-05
21.22,1.04,9.6e-05
21.28,1.02,9.6e-05
21.2,0.96,9.6e-05
21.26,1.0,9.6e-05
21.38,0.98,9.6e-05
21.3,1.0,9.6e-05
21.28,1.0,9.7e-05
21.32,1.0,9.6e-05
21.32,1.02,9.6e-05
21.24,1.0,9.6e-05
21.28,1.0,9.5e-05
21.36,1.0,9.6e-05
21.26,0.94,9.5e-05
21.22,0.98,9.6e-05
21.34,1.02,9.5e-05
21.28,1.0,9.5e-05
21.34,0.98,9.5e-05
21.38,0.98,9.5e-05
21.28,0.98,9.5e-05
21.32,0.96,9.5e-05
21.32,1.0,9.5e-05
21.32,1.02,9.5e-05
21.3,0.98,9.5e-05
21.32,1.02,9.5e-05
21.36,1.02,9.5e-05
21.34,1.02,9.5e-05
21.22,1.0,9.5e-05
21.3,1.02,9.5e-05
21.32,1.0,9.5e-05
21.42,1.0,9.5e-05
21.52,0.96,9.8e-05
23.22,0.94,0.000101
26.76,0.98,0.000103
26.7,1.0,0.000102
26.6,1.0,0.000102
26.78,1.0,0.000101
26.68,1.0,0.000102
26.74,1.0,0.000102
26.74,0.96,0.000102
26.8,0.98,0.000101
26.78,1.0,0.000102
26.64,1.0,0.000101
26.8,0.98,0.000102
26.86,1.0,0.000102
26.6,1.0,0.000102
26.64,0.98,0.000102
26.66,1.0,0.000102
26.74,1.0,0.000101
26.7,0.96,0.000102
26.72,1.02,0.000102
26.68,1.0,0.000102
26.8,1.0,0.000102
26.78,1.02,0.000101
26.66,1.04,0.000101
26.72,1.0,0.000101
26.7,1.02,0.000101
26.7,1.0,0.0001
26.8,1.0,0.0001
26.74,1.02,0.0001
26.64,1.02,0.0001
26.8,1.04,0.0001
26.72,1.04,0.0001
26.86,0.98,0.0001
26.82,1.02,0.0001
26.8,1.0,0.0001
26.68,1.0,0.0001
26.66,1.02,0.0001
26.62,1.0,0.0001
26.7,1.0,0.0001
26.82,1.04,9.9e-05
26.7,0.98,0.0001
26.72,1.02,9.9e-05
26.74,0.98,9.9e-05
26.88,1.02,9.9e-05
26.82,1.02,9.9e-05
26.72,1.0,9.9e-05
26.7,0.98,9.8e-05
26.66,0.98,9.8e-05
26.82,0.94,9.9e-05
26.76,0.98,9.9e-05
26.78,1.02,9.9e-05
26.68,1.0,9.8e-05
26.74,1.06,9.9e-05
26.78,1.0,9.9e-05
26.72,1.0,9.9e-05
26.8,1.02,9.8e-05
26.74,1.04,9.9e-05
26.7,1.0,9.9e-05
26.74,1.02,9.9e-05
26.7,1.08,9.8e-05
27.04,0.94,9.1e-05
28.86,0.9,7e-05
30.5,1.02,7e-05
30.42,1.0,7e-05
30.54,1.0,6.8e-05
30.52,1.02,6.8e-05
30.44,1.0,6.7e-05
30.58,1.02,6.7e-05
30.42,1.0,6.7e-05
30.48,1.02,6.7e-05
30.36,0.96,6.7e-05
30.48,1.02,6.7e-05
30.46,1.0,6.7e-05
30.44,0.98,6.6e-05
30.6,1.04,6.7e-05
30.44,1.02,6.7e-05
30.42,0.98,6.6e-05
30.56,1.02,6.7e-05
30.52,1.02,6.7e-05
30.48,1.0,6.6e-05
30.42,1.02,6.6e-05
30.5,1.0,6.6e-05
30.44,1.02,6.7e-05
30.44,1.02,6.7e-05
30.5,0.98,6.7e-05
30.5,0.98,6.7e-05
30.4,0.96,6.7e-05
30.5,0.98,6.7e-05
30.42,1.0,6.6e-05
30.36,1.0,6.6e-05
30.52,0.98,6.6e-05
30.46,1.0,6.6e-05
30.56,1.0,6.5e-05
30.44,0.98,6.5e-05
30.4,1.02,6.6e-05
30.42,1.0,6.5e-05
30.34,1.0,6.5e-05
30.38,1.04,6.4e-05
30.44,1.0,6.5e-05
30.48,1.02,6.5e-05
30.36,1.0,6.5e-05
30.48,1.02,6.5e-05
30.5,1.0,6.5e-05
30.5,1.0,6.4e-05
30.48,1.04,6.4e-05
30.42,1.0,6.4e-05
30.58,1.0,6.5e-05
30.56,1.04,6.4e-05
30.6,1.02,6.5e-05
30.4,0.98,6.4e-05
30.44,1.0,6.4e-05
30.64,0.98,6.5e-05
30.5,1.02,6.5e-05
30.46,1.0,6.4e-05
30.5,1.0,6.4e-05
30.54,1.02,6.5e-05
30.52,1.0,6.5e-05
30.48,1.04,6.4e-05
30.54,1.02,6.5e-05
30.56,1.0,6.5e-05
30.9,0.98,5.5e-05
33.92,0.96,3.5e-05
36.02,0.98,3.4e-05
36.08,1.0,3.4e-05
36.16,1.02,3.4e-05
36.14,1.04,3.4e-05
36.16,1.0,3.4e-05
36.1,1.0,3.4e-05
36.1,1.02,3.4e-05
36.1,1.0,3.4e-05
36.02,1.02,3.4e-05
36.06,1.04,3.4e-05
36.04,1.0,3.4e-05
36.12,1.02,3.4e-05
36.12,1.0,3.4e-05
36.12,1.0,3.4e-05
36.06,1.0,3.4e-05
36.12,1.02,3.4e-05
36.18,0.98,3.4e-05
36.1,0.98,3.4e-05
36.08,1.02,3.4e-05
36.2,1.0,3.3e-05
36.1,1.06,3.3e-05
